code,subcode,sub_subcode,text,name,coder,comment_id
analyzing the dataset,,,"So if we were to look at our EAM activity and the instructions, it said that the data set had 3000 people 1063 were charged with another crime within two years and 1937 were not charged with a crime within two years. That is relatively balanced as a data set in my mind.",./discussion/Room 12.docx,Wesley Deng,1
checklist action,checking out a point,," That's what it asked for, though. What are the trade offs between the expected benefits and potential harms for identified stakeholder groups?",./discussion/Room 4.docx,Wesley Deng,10
checklist action,checking out a point,,"I think a good way to make a decision is just following the point three, identifying the state stakeholders by which we can just have a pros and cons or you know the potential benefits and the potential harms for like either of these things if you want to go for like high false negative and high false positive.",./discussion/Room 12.docx,Wesley Deng,18
checklist action,checking out a point,,"sidles societal value means like, the value to the society, right? Or the impact relating to slavery. Yeah. So I think the first question is just asking, what, what do we believe is more important for society? ",./discussion/Room 4.docx,Wesley Deng,4
checklist action,identifying stakeholders,,"Yeah, yeah. criminals and in fact, I think actually the overall the the tax payer you know, they pay the money or the jail right the wholesaler to write to support the criminals. So I think they're like also interactive stakeholders.",./discussion/Room 4.docx,Wesley Deng,6
comment on activity/dataset,,,"we have so so little context about how the system is being, how the system is, and what the crimes are that being trained off of and just",./discussion/Room 6.docx,Aditi Chattopadhyay,9
commenting on activity,,,we could just say that we had no basis on which to prioritize falls.,./discussion/Room 6.docx,Aditi Chattopadhyay,10
commenting on criminal system/coming up with situtations,,,":24  Um, like, if a judge has to be like, um, you know, this criminal is gonna be your friend again, based on this prediction. Let's just give him a higher time or something like that. I was just wondering ifP44  16:37  I'm sure they look at multiple factors, but I still don't necessarily like the idea of like, I guess measuring like, the way that they're trying to like, like, you know, I wouldn't make",./discussion/Room 11.docx,Aditi Chattopadhyay,9
commenting on the algorithm's deployment,human-in-the-loop,,"I mean, either case, my head, like, you know, there will be another layer, you know, you have another person checking this process and that person. I mean, basically, the models job is to make that person feel easier.",./discussion/Room 2.docx,Wesley Deng,2
commenting on the algorithm's deployment,human-in-the-loop,,"o possibly you could have another intervention, right? Like to, you know, check the model again to a human in the loop or something like that.",./discussion/Room 2.docx,Wesley Deng,1
commenting on the criminal system,innocent till proven guilty,,But I don't know in the American legal system I think false negative rate is considered like you know innocent till proven guilty so hopefully that's a pretty big metric but or false positive,./discussion/Room 13.docx,Wesley Deng,13
common action,commenting on criminal system,,"My argument about the false negative rate was mostly predicated on the idea that these systems aren't being used for conviction so much as just for recommendation. Um, you can't just have an AIB The budget court case, right? Um,",./discussion/Room 6.docx,Aditi Chattopadhyay,7
common action,"commenting on data, algorithm deployment",," they don't mention what like the results of the algorithm would be used for it it says it's like it for like a model for Allegheny County but doesn't say like what decision making it in fact, I feel like that would change how we thought about it if they said it used for. I don't know. Is there a natural it looks like something like you know, someone would like say, Oh, this person may refund or not. It doesn't say like, if it's used for parole, or what",./discussion/Room 8.docx,Aditi Chattopadhyay,7
common action,commenting on the algorithm's legitimacy,,But I think we need to question what the role of this like this model prediction system is. ,./discussion/Room 12.docx,Wesley Deng,7
common action,commenting on the algorithm's legitimacy,,"Um, so if a person who will not a refund but is predicted to reaffirm or well we put him in to the jail immediately, or we just watch him closely, and depends on what Griffin,",./discussion/Room 12.docx,Wesley Deng,6
common action,commenting on the criminal system,innocent till proven guilty,"That's how whether you like it or not the way the American system is built is that you're innocent until proven guilty. So Maybe in an ideal system, you could challenge that and put priority of the community over the individual",./discussion/Room 5.docx,Wesley Deng,3
common action,commenting on the dataset,,"But I think it's just the sample size is too small like, like, amongst 3000 people I don't like most criminals are. I don't know if criminals necessarily like the same.",./discussion/Room 5.docx,Wesley Deng,4
common action,commenting on the dataset,bias in data," So right, when they look and when they use their data and the sentences that they're recommending the base off sentences that were already given to people, certain races, genders, ages, etc. ",./discussion/Room 12.docx,Wesley Deng,14
common action,commenting on the dataset,bias in data,"based like is it an institutional bias? Or is it a bias in the data set? You know, like, for example, let's say like for, just as an example, we have 70% white American in the data set and only 30% African American would like data points. ",./discussion/Room 12.docx,Wesley Deng,17
common action,commenting on the dataset,innocent till proven guilty,"I think just to bounce another idea in there, as we talk, the the idea, at least in the United States and serve our society is innocent until proven guilty. ",./discussion/Room 9.docx,Wesley Deng,2
common action,commenting on the dateset,bias in data,just like just to add on one more point is that I think like by definition it says like having a database model or database system is bound to have some biases based on the previous experiences,./discussion/Room 12.docx,Wesley Deng,15
common action,critical thinking,,I don't really know the breakdown of a of the people committing versus not committing another crime.,./discussion/Room 5.docx,Wesley Deng,2
common action,endorsing accuracy,,"If I'm going to these models, I'm gonna start with models that have high accuracy, right?",./discussion/Room 12.docx,Wesley Deng,19
