,Timestamp,ind_1,ind_2,Please elaborate on your answer above. ,Participant_Id,Persona,Pretest Preferred Metric
0,2020/09/10 1:47:36 PM MDT,Model_2,Model_4,"As a fairness advocate, I aim for the lowest percentages for disparity in accuracy, FPR, and FNR. Model 2 has overall a very low disparity percentage for all (including 0% disparity for accuracy). Model 4 similarly has low percentages, but I chose it second choice due to slightly higher numbers across the board.",0,Fairness Advocate,Maximizing Accuracy
1,2020/09/10 1:48:52 PM MDT,Model_5,Model_7,"Model 5 has the lowest false positive rate of all the models so the Defendents prefer this. Model 7 has the second lowest false positive rate , but also a higher accuracy so this model also seems good as well.",16,Defendent,"Minimizing False Positive Rate,Maximizing Accuracy"
2,2020/09/10 1:49:04 PM MDT,Model_8,Model_2,"My first choice is model 8 because it has the lowest false negative rate. My second choice is model 2 because it has the second lowest negative rate. As a community member who wants my neighborhood to be safe, I guess I don't really mind the relatively high false positive rates, as it's better to be safe than sorry. The same reasoning applies for why I prefer model 8 over model 2 even though model 2 has less disparity.",38,Community Member,"Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics,Minimizing False Negative Rate,Minimizing False Positive Rate,Maximizing Accuracy"
3,2020/09/10 1:49:09 PM MDT,Model_3,Model_7,"Since I am playing the judge role, I am looking for the model to have the highest accuracy rate ",30,Judge,Maximizing True Positive Rate
4,2020/09/10 1:49:36 PM MDT,Model_4,Model_4,"Since we want to be fair, we want to minimize the disparity in accuracy",43,Fairness Advocate,"Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics,Others,Maximizing Accuracy"
5,2020/09/10 1:49:45 PM MDT,Model_8,Model_2,"If my goal is to choose a model that minimizes False Negative Rate, then I should choose models with smaller FNRs. ",49,Community Member,Others
6,2020/09/10 1:49:49 PM MDT,Model_7,Model_3,"My primary heuristic was selecting a model with adequate accuracy that did not jeopardize freedom through a poor false positive rate. Model 7 is accurate and has a low false-positive rate. It errors in a manner that preserves the rights of defendants. However, it may leave too many criminals on the street. Model 3, is accurate, and also have a relatively low false positive rate. ",54,Defendent,"Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics,Maximizing Accuracy"
7,2020/09/10 1:50:05 PM MDT,Model_5,Model_7,"As a defendant, I want the lowest FPR. Models 5 and 7 have the lowest in order. 

An extra reason why I chose model 5 over 7 is because model 5 has lower disparity. Since I don't know the race of my persona, I'm playing safe and going with lower disparity (so I'm not too disadvantaged). My personal values also support less disparity, so I chose to go with this because it doesn't contradict my persona. ",47,Defendent,"Minimizing False Positive Rate,Maximizing True Positive Rate"
8,2020/09/10 1:50:14 PM MDT,Model_1,Model_3,I ranked my top two categories as 1. Accuracy and 2. FNR and those categories seemed to yield the best balance between those two numbers. ,12,NA,"Minimizing False Negative Rate,Minimizing False Positive Rate"
9,2020/09/10 1:50:46 PM MDT,Model_6,Model_2,"The risk of false negative is much higher than false positive. Thus, I chose models that achieves both low false negative and high accuracy as much as possible.",42,NA,"Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics"
